AL,89.3
AZ,77.4
AR,84.9
CA,82.0
CO,77.3
CT,87.2
DE,85.6
DC,68.5
FL,77.9
GA,78.8
ID,78.9
IL,85.6
IN,87.1
IA,90.8
KS,85.7
KY,88.0
LA,77.5
ME,87.5
MD,87.0
MA,87.3
MI,79.8
MN,81.9
MS,75.4
MO,87.8
MT,86.0
NE,88.9
NV,71.3
NH,88.1
NJ,89.7
NM,68.6
NY,79.2
NC,85.6
ND,86.6
OH,80.7
OK,82.5
OR,73.8
PA,84.8
RI,83.2
SC,80.3
SD,83.9
TN,87.9
TX,89.0
UT,84.8
VT,87.7
VA,85.7
WA,78.2
WV,86.5
WI,88.4
WY,79.3
